Inversion Individual Karyotype
LGC1.2 P03-E07-DO-21-20.GT 1
LGC1.2 P03-F01-W-REF-21-51.GT 1
LGC1.2 P03-F04-DO-92-22.GT 1
LGC1.2 P03-F05-DO-21-05.GT 1
LGC1.2 P03-F08-DO-21-29.GT 1
LGC1.2 P03-F10-DO-21-45.GT 1
LGC1.2 P03-G02-DO-92-07.GT 1
LGC1.2 P03-G03-DO-92-15.GT 1
LGC1.2 P03-G04-DO-92-23.GT 1
LGC1.2 P03-H05-DO-21-07.GT 1
LGC1.2 P36-A11-Plate-36-RefW-100.GT 1
LGC1.2 P36-B11-Plate-36-DonCrab-129.GT 1
LGC1.2 P36-C10-Plate-36-RefW-088.GT 1
LGC1.2 P36-C12-Plate-36-RefW-068.GT 1
LGC1.2 P36-D12-Plate-36-DonCrab-115.GT 1
LGC1.2 P36-E10-Plate-36-RefW-063.GT 1
LGC1.2 P36-E12-Plate-36-RefW-069.GT 1
LGC1.2 P36-F10-Plate-36-RefW-061.GT 1
LGC1.2 P36-F11-Plate-36-RefW-053.GT 1
LGC1.2 P36-F12-Plate-36-DonCrab-132.GT 1
LGC1.2 P36-G10-Plate-36-RefW-079.GT 1
LGC1.2 P36-G11-Plate-36-RefW-092.GT 1
LGC1.2 P36-G12-Plate-36-ExpSkerry-032.GT 1
LGC1.2 P36-H10-Plate-36-RefW-056.GT 1
LGC1.2 P36-H11-Plate-36-ExpSkerry-012.GT 1
LGC1.2 P38-A02-Plate-38-RefW-102.GT 1
LGC1.2 P38-A04-Plate-38-DonCrab-126.GT 1
LGC1.2 P38-A05-Plate-38-ExpSkerry-022.GT 1
LGC1.2 P38-A06-Plate-38-ExpSkerry-050.GT 1
LGC1.2 P38-B01-Plate-38-RefW-080.GT 1
